Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
321.0,Andre Jackson Jr.,23.0,MIL,SG,7.0,1.0,14.4,1.3,2.7,0.474,0.6,1.4,0.4,0.7,1.3,0.556,0.579,0.1,0.6,0.25,0.4,2.3,2.7,1.6,1.1,0.3,1.1,2.4,3.3,
322.0,Tidjane SalaÃ¼n,19.0,CHO,PF,6.0,0.0,15.7,1.2,3.8,0.304,0.8,3.0,0.278,0.3,0.8,0.4,0.413,0.2,0.3,0.5,0.3,2.0,2.3,0.8,0.5,0.0,0.5,0.7,3.3,
323.0,Ricky Council IV,23.0,PHI,SG,5.0,0.0,7.4,1.0,2.0,0.5,0.4,1.0,0.4,0.6,1.0,0.6,0.6,0.8,0.8,1.0,0.0,0.6,0.6,0.6,0.0,0.0,0.4,0.4,3.2,
324.0,Gabe Vincent,28.0,LAL,PG,8.0,0.0,18.5,1.3,4.4,0.286,0.5,2.8,0.182,0.8,1.6,0.462,0.343,0.1,0.3,0.5,0.3,0.8,1.0,0.6,0.6,0.0,0.8,1.4,3.1,
325.0,David Duke Jr.,25.0,SAS,SG,1.0,0.0,8.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,
326.0,Collin Gillespie,25.0,PHO,PG,1.0,0.0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
327.0,Tre Jones,25.0,SAS,PG,1.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,3.0,4.0,0.75,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,
328.0,Stanley Umude,25.0,MIL,SG,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
329.0,Kel'el Ware,20.0,MIA,C,3.0,0.0,7.3,1.3,3.3,0.4,0.3,1.0,0.333,1.0,2.3,0.429,0.45,0.0,0.0,,0.0,2.0,2.0,0.0,0.7,0.3,0.7,1.0,3.0,
330.0,Jeenathan Williams,25.0,HOU,SG,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,
331.0,Moussa DiabatÃ©,23.0,CHO,PF,8.0,0.0,11.3,1.3,2.0,0.625,0.0,0.0,,1.3,2.0,0.625,0.625,0.4,1.0,0.375,1.8,2.8,4.5,0.4,0.1,0.3,0.6,1.1,2.9,
332.0,Zeke Nnaji,24.0,DEN,PF,4.0,0.0,7.5,1.3,2.3,0.556,0.0,0.8,0.0,1.3,1.5,0.833,0.556,0.3,0.5,0.5,0.5,0.3,0.8,0.5,0.0,0.5,0.0,0.8,2.8,
333.0,Cole Anthony,24.0,ORL,PG,7.0,0.0,11.6,1.0,4.0,0.25,0.3,1.9,0.154,0.7,2.1,0.333,0.286,0.4,1.0,0.429,0.3,1.9,2.1,2.4,0.9,0.1,1.4,1.4,2.7,
