RK,NAME,TEAM,SALARY,YEAR,Pos
75,Mehmet Okur,Utah Jazz,9000000,2010,C
76,Hedo Turkoglu,Toronto Raptors,9000000,2010,SF
77,Corey Maggette,Golden State Warriors,8937931,2010,SF
78,Mo Williams,Cleveland Cavaliers,8860000,2010,PG
79,Kenny Thomas,Sacramento Kings,8775000,2010,PF
80,Quentin Richardson,Miami Heat,8700000,2010,SF
81,T.J. Ford,Indiana Pacers,8500000,2010,PG
82,Devin Harris,New Jersey Nets,8400000,2010,G
83,Jose Calderon,Toronto Raptors,8219009,2010,G
84,Jason Kidd,Dallas Mavericks,8100000,2010,PG
85,Jameer Nelson,Orlando Magic,8100000,2010,G
86,Mark Blount,Miami Heat,7967375,2010,C
87,Etan Thomas,Oklahoma City Thunder,7906088,2010,C
88,Paul Millsap,Utah Jazz,7692932,2010,PF
89,Stephen Jackson,Charlotte Bobcats,7650000,2010,SF
90,Darko Milicic,Minnesota Timberwolves,7540000,2010,C
91,Andres Nocioni,Sacramento Kings,7500000,2010,SF
92,Lamar Odom,Los Angeles Lakers,7500000,2010,PF
93,Marvin Williams,Atlanta Hawks,7500000,2010,F
94,Marko Jaric,Brooklyn Nets,7100000,2010,PG
95,Udonis Haslem,Miami Heat,7100000,2010,PF
96,David Lee,New York Knicks,7000000,2010,PF
97,Shane Battier,Houston Rockets,6939200,2010,SF
98,Joel Przybilla,Portland Trail Blazers,6857725,2010,C
99,Dan Gadzuric,Milwaukee Bucks,6749260,2010,C
100,Andre Miller,Portland Trail Blazers,6730800,2010,PG
101,Shawn Marion,Dallas Mavericks,6635068,2010,SG
102,Tony Battie,New Jersey Nets,6606600,2010,C
103,Leandro Barbosa,Phoenix Suns,6600000,2010,G
104,Antonio Daniels,Philadelphia 76ers,6600000,2010,PG
105,Jerome James,Chicago Bulls,6600000,2010,C
106,Andrea Bargnani,Toronto Raptors,6527491,2010,C
107,Luke Ridnour,Milwaukee Bucks,6500000,2010,PG
108,Charlie Villanueva,Detroit Pistons,6500000,2010,PF
109,Nazr Mohammed,Charlotte Bobcats,6466600,2010,C
110,Jared Jeffries,Houston Rockets,6466600,2010,PF
111,Mike James,Washington Wizards,6466600,2010,PG
112,Vladimir Radmanovic,Golden State Warriors,6466600,2010,SF
113,John Salmons,Milwaukee Bucks,6429151,2010,SF
114,Anderson Varejao,Cleveland Cavaliers,6363636,2010,C
115,Nick Collison,Oklahoma City Thunder,6250000,2010,F
116,Mike Bibby,Atlanta Hawks,6217617,2010,PG
117,Jason Kapono,Philadelphia 76ers,6212960,2010,SG
118,JR Smith,Denver Nuggets,6171426,2010,G
119,Jeff Foster,Indiana Pacers,6077500,2010,PF
120,Chris Duhon,New York Knicks,6031800,2010,PG
121,James Posey,New Orleans Hornets,6031800,2010,SF
122,Beno Udrih,Sacramento Kings,6031800,2010,PG
123,DeSagana Diop,Charlotte Bobcats,6031800,2010,C
124,Brendan Haywood,Dallas Mavericks,6000000,2010,C
125,Rasheed Wallace,Boston Celtics,5854000,2010,PF
126,Trevor Ariza,Houston Rockets,5854000,2010,SF
127,Metta World Peace,Los Angeles Lakers,5854000,2010,SF
128,Marcin Gortat,Orlando Magic,5854000,2010,C
129,LaMarcus Aldridge,Portland Trail Blazers,5844827,2010,C
130,Morris Peterson,New Orleans Hornets,5800000,2010,SG
131,Francisco Garcia,Sacramento Kings,5800000,2010,SG
132,Raymond Felton,Charlotte Bobcats,5501196,2010,G
133,Greg Oden,Portland Trail Blazers,5361240,2010,C
134,Mickael Pietrus,Orlando Magic,5300000,2010,SF
135,Adam Morrison,Los Angeles Lakers,5257229,2010,SF
136,Raja Bell,Golden State Warriors,5250000,2010,SG
137,Speedy Claxton,Atlanta Hawks,5209454,2010,PG
138,Derrick Rose,Chicago Bulls,5184480,2010,PG
139,Kyle Korver,Utah Jazz,5163636,2010,G
140,Nenad Krstic,Oklahoma City Thunder,5160832,2010,C
141,Derek Fisher,Los Angeles Lakers,5048000,2010,PG
142,Jason Maxiell,Detroit Pistons,5000000,2010,PF
143,Sasha Vujacic,Los Angeles Lakers,5000000,2010,SG
144,Nate Robinson,Boston Celtics,5000000,2010,PG
145,Jarrett Jack,Toronto Raptors,5000000,2010,G
146,Blake Griffin,Boston Celtics,4983480,2010,PF
147,Lou Williams,Philadelphia 76ers,4972500,2010,SG
148,Reggie Evans,Toronto Raptors,4960000,2010,C
149,Luke Walton,Los Angeles Lakers,4840000,2010,SF
150,Kevin Durant,Oklahoma City Thunder,4796880,2010,PF
151,Zaza Pachulia,Atlanta Hawks,4750000,2010,C
152,Tyrus Thomas,Charlotte Bobcats,4743598,2010,PF
153,Matt Carroll,Dallas Mavericks,4700000,2010,SG
154,Michael Beasley,Miami Heat,4638600,2010,F
155,Drew Gooden,LA Clippers,4580735,2010,PF
156,Marcus Banks,Toronto Raptors,4553793,2010,PG
157,Darius Songaila,New Orleans Hornets,4526000,2010,PF
158,Antonio McDyess,San Antonio Spurs,4500000,2010,PF
159,Kendrick Perkins,Boston Celtics,4500000,2010,C
160,Hasheem Thabeet,Memphis Grizzlies,4458840,2010,C
161,Trenton Hassell,New Jersey Nets,4350000,2010,SF
162,Martell Webster,Portland Trail Blazers,4344000,2010,SF
163,James Jones,Miami Heat,4330000,2010,SG
164,Al Horford,Atlanta Hawks,4307640,2010,C
165,Delonte West,Cleveland Cavaliers,4254250,2010,SG
166,O.J. Mayo,Memphis Grizzlies,4165560,2010,SG
167,Ronny Turiaf,Golden State Warriors,4140000,2010,C
168,Bruce Bowen,San Antonio Spurs,4100000,2010,SF
169,Daniel Gibson,Cleveland Cavaliers,4088500,2010,SG
170,Greg Buckner,Memphis Grizzlies,4080915,2010,SG
171,James Harden,Oklahoma City Thunder,4004160,2010,SG
172,Kwame Brown,Detroit Pistons,4000000,2010,C
173,Brandon Bass,Orlando Magic,4000000,2010,PF
174,Steve Blake,LA Clippers,4000000,2010,PG
175,Rasual Butler,LA Clippers,3945000,2010,SF
176,Amir Johnson,Toronto Raptors,3941667,2010,F
177,Brandon Roy,Portland Trail Blazers,3910816,2010,SG
178,Ryan Gomes,Minnesota Timberwolves,3892500,2010,SF
179,DeShawn Stevenson,Dallas Mavericks,3883929,2010,SG
180,Mike Conley,Memphis Grizzlies,3883800,2010,PG
181,Kurt Thomas,Milwaukee Bucks,3800000,2010,PF
182,Roger Mason Jr.,San Antonio Spurs,3780000,2010,SG
183,Russell Westbrook,Oklahoma City Thunder,3755640,2010,PG
184,CJ Miles,Utah Jazz,3700000,2010,G
185,Steven Hunter,Memphis Grizzlies,3696000,2010,C
186,Willie Green,Philadelphia 76ers,3682000,2010,SG
187,Ramon Sessions,Minnesota Timberwolves,3670667,2010,G
188,Chris Andersen,Denver Nuggets,3650000,2010,PF
189,Damien Wilkins,Minnesota Timberwolves,3630000,2010,SG
190,Tyreke Evans,Sacramento Kings,3610080,2010,G
191,Charlie Bell,Milwaukee Bucks,3602960,2010,SG
192,Travis Outlaw,LA Clippers,3600000,2010,SF
193,Randy Foye,Washington Wizards,3575761,2010,SG
194,Keyon Dooling,New Jersey Nets,3564000,2010,PG
195,Jeff Green,Oklahoma City Thunder,3516960,2010,PF
196,Carlos Delfino,Milwaukee Bucks,3500000,2010,SG
197,Brian Cook,Houston Rockets,3500000,2010,PF
198,Brian Scalabrine,Boston Celtics,3413793,2010,PF
199,Kevin Love,Minnesota Timberwolves,3401040,2010,PF
200,Marc Gasol,Memphis Grizzlies,3333333,2010,C
201,Luis Scola,Houston Rockets,3284667,2010,F
202,Rudy Gay,Memphis Grizzlies,3280997,2010,SF
203,Matt Bonner,San Antonio Spurs,3256500,2010,C
204,Yi Jianlian,New Jersey Nets,3194400,2010,SF
205,Kelenna Azubuike,Golden State Warriors,3100000,2010,SF
206,Danilo Gallinari,New York Knicks,3089040,2010,PF
207,Glen Davis,Boston Celtics,3000004,2010,PF
208,Jamario Moon,Cleveland Cavaliers,3000000,2010,SF
209,Eduardo Najera,Dallas Mavericks,3000000,2010,PF
210,Carl Landry,Sacramento Kings,3000000,2010,PF
211,Hakim Warrick,Chicago Bulls,3000000,2010,PF
212,Andray Blatche,Washington Wizards,3000000,2010,C
213,Grant Hill,Phoenix Suns,3000000,2010,SF
214,Chris Wilcox,Detroit Pistons,3000000,2010,PF
215,Jonny Flynn,Minnesota Timberwolves,2969280,2010,PG
216,Corey Brewer,Minnesota Timberwolves,2916120,2010,F
217,Kris Humphries,New Jersey Nets,2900000,2010,PF
218,Dorell Wright,Miami Heat,2887165,2010,SF
219,Eddie House,New York Knicks,2862000,2010,SG
220,Mark Madsen,Minnesota Timberwolves,2840000,2010,PF
221,JJ Redick,Orlando Magic,2839408,2010,SG
222,Eric Gordon,LA Clippers,2819880,2010,SG
223,Hilton Armstrong,Houston Rockets,2801198,2010,PF
224,Earl Watson,Indiana Pacers,2800000,2010,PG
225,Thabo Sefolosha,Oklahoma City Thunder,2759628,2010,F
226,Ronnie Brewer,Memphis Grizzlies,2717161,2010,SF
227,Stephen Curry,Golden State Warriors,2710560,2010,PG
228,Brandan Wright,Houston Rockets,2671440,2010,F
229,Anthony Parker,Cleveland Cavaliers,2644231,2010,SG
230,Joe Alexander,Chicago Bulls,2583360,2010,SF
231,Maurice Evans,Atlanta Hawks,2500000,2010,SG
232,Sebastian Telfair,Cleveland Cavaliers,2500000,2010,PG
233,Dahntay Jones,Indiana Pacers,2500000,2010,SG
234,Tony Allen,Boston Celtics,2500000,2010,SG
235,Michael Finley,Boston Celtics,2500000,2010,SG
236,Jordan Hill,Houston Rockets,2483280,2010,C
237,Joakim Noah,Chicago Bulls,2455680,2010,C
238,Shawne Williams,Minnesota Timberwolves,2416067,2010,SF
239,Ricky Davis,LA Clippers,2400000,2010,SG
240,D.J. Augustin,Charlotte Bobcats,2374680,2010,G
241,Spencer Hawes,Sacramento Kings,2332800,2010,PF
242,David Andersen,Houston Rockets,2314815,2010,C
243,Craig Smith,LA Clippers,2300000,2010,PF
244,DeMar DeRozan,Toronto Raptors,2282640,2010,SF
245,Brook Lopez,New Jersey Nets,2255880,2010,C
246,Acie Law,Chicago Bulls,2216160,2010,PG
247,Ryan Hollins,Minnesota Timberwolves,2183333,2010,C
248,Brandon Jennings,Milwaukee Bucks,2168520,2010,G
249,Chuck Hayes,Houston Rockets,2147750,2010,PF
250,Jerryd Bayless,Portland Trail Blazers,2143080,2010,G
251,Renaldo Balkman,Denver Nuggets,2112417,2010,SF
252,Thaddeus Young,Philadelphia 76ers,2105400,2010,F
253,Ersan Ilyasova,Milwaukee Bucks,2100000,2010,PF
254,Rajon Rondo,Boston Celtics,2094923,2010,PG
255,Anthony Johnson,Orlando Magic,2062800,2010,PG
256,Jarvis Hayes,New Jersey Nets,2062800,2010,SF
257,Brent Barry,Houston Rockets,2062800,2010,SG
258,Terrence Williams,New Jersey Nets,2060040,2010,SG
259,Josh Boone,New Jersey Nets,2056968,2010,C
260,Jason Thompson,Sacramento Kings,2035920,2010,PF
